;Precio;Direccion;Superficie;Dormitorios;Baños
0;"Desde
UF 1.845";Zenteno 1252, Santiago;22 - 61 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
1;"Desde
UF 2.310";Fray Camilo Henríquez 320, Santiago;32 - 60 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
2;"Desde
UF 2.190";Franklin Con Santa Elena, Santiago;32 - 62 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
3;"Desde
UF 1.710";Mapocho 1892, Santiago;19 - 32 m² útiles ; 1 dormitorio  ; 1 baño
4;"Desde
UF 2.290";Av. Presidente Balmaceda 2.610, Santiago;31 - 49 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
5;"Desde
UF 1.954";Eleuterio Ramírez 645, Santiago;24 - 51 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
6;"Desde
UF 2.114";Abate Molina 186, Santiago;26 - 50 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
7;"Desde
UF 2.005";Ricardo Cumming 902, Santiago;33 - 55 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
8;"Desde
UF 2.684";General Jofré 220, Santiago;34 - 51 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
9;"Desde
UF 3.550";Morandé 857, Santiago;48 - 55 m² útiles ; 2 dormitorios  ; 2 baños
10;"Desde
UF 3.390";Claudio Gay 1933, Santiago;56 - 7195 m² útiles ; 2 - 3 dormitorios  ; 2 baños
11;"Desde
UF 2.163";Santa Isabel 330, Santiago;23 - 51 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
12;"Desde
UF 2.251";Vicuña Mackenna 1547, Santiago;21 - 47 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
13;"Desde
UF 2.599";Santa Isabel 360, Santiago;30 - 49 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
14;"Desde
UF 2.513";Portugal 520, Santiago;32 - 60 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
15;"Desde
UF 2.202";Almirante Blanco Encalada 2521, Santiago;2 - 52 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
16;"Desde
UF 2.680";Nataniel Cox 683, Santiago;31 - 56 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
17;"Desde
UF 2.500";Miguel León Prado 55, Santiago;29 - 55 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
18;"Desde
UF 2.615";Carmen 590, Santiago;31 - 50 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
19;"Desde
UF 2.615";San Pablo 1653, Santiago;33 - 47 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
20;"Desde
UF 3.524";Manuel Rodríguez 39, Santiago;40 - 52 m² útiles ; 2 dormitorios  ; 2 baños
