Precio;Direccion;Superficie;Dormitorios;Baños;Link;Comuna;Valor UF;Valor Pesos
$ 126.000.000;Avenida Manuel Rodriguez Norte 53, Santiago, Santiago Centro, Chile, Santiago;70 m² útiles ; 3 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-537954529-avenida-manuel-rodriguez-norte-53-santiago-_JM#position=23&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 126.000.000
$ 267.000.000;Metro Príncipe De Gales, La Reina;133 m² útiles ; 4 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5626589-metro-principe-de-gales-uda#position=9&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 267.000.000
$ 210.000.000;Príncipe De Gales / Loreley, La Reina;115 m² útiles ; 3 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5662373-principe-de-gales-loreley-uda#position=17&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 210.000.000
$ 163.000.000;Mateo De Toro Y Zambrano, La Reina;96 m² útiles ; 4 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5728956-mateo-de-toro-y-zambrano-uda#position=23&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 163.000.000
$ 183.000.000;Francisco Bilbao / Parque Alberto Hurtado, La Reina;80 m² útiles ; 3 dormitorios ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5620774-francisco-bilbao-parque-alberto-hurtado-uda#position=1&type=item&tracking_id=2da3159c-6137-4382-b424-e8282cf4b324;La Reina, RM (Metropolitana);0;$ 183.000.000
$ 180.000.000;La Cañada, Loreley, La Reina;88 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-531780431-departamento-en-venta-de-2-dormitorios-en-la-reina-_JM#position=50&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 180.000.000
$ 125.000.000;Poeta Ángel Cruchaga, La Reina;77 m² útiles ; 3 dormitorios ; 1 baño;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5727387-poeta-angel-cruchaga-uda#position=25&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 125.000.000
$ 310.000.000;Espectacular Departamento Principe De Gales / La Reina, La Reina;160 m² útiles ; 3 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/4380534-espectacular-departamento-principe-de-gales-la-reina-uda#position=21&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 310.000.000
$ 54.000.000;Jose Arrieta / Tobalaba, La Reina;50 m² útiles ; 2 dormitorios ; 1 baño;https://www.portalinmobiliario.com/venta/departamento/penalolen-metropolitana/5722130-jose-arrieta-tobalaba-uda#position=11&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 54.000.000
$ 86.000.000;La Reina: Blest Gana, La Reina;60 m² útiles ; 2 dormitorios ; 1 baño;https://www.portalinmobiliario.com/MLC-527820355-departamento-en-venta-blest-gana-_JM#position=33&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 86.000.000
$ 160.000.000;Avenida Larrain / Ruben Dario, La Reina;80 m² útiles ; 3 dormitorios ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5016851-avenida-larrain-ruben-dario-uda#position=43&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 160.000.000
$ 180.000.000;Principe De Gales / Mateo De Toro Y Zambrano, La Reina;89 m² útiles ; 4 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/4825735-principe-de-gales-mateo-de-toro-y-zambrano-uda#position=49&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 180.000.000
$ 180.000.000;La Reina: La Cañada, La Reina;80 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-524329888-departamento-en-venta-la-canada-_JM#position=7&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 180.000.000
$ 130.000.000;Mateo Toro Y Zambrano, La Reina;80 m² útiles ; 3 dormitorios ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5406249-mateo-toro-y-zambrano-uda#position=42&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 130.000.000
$ 315.000.000;Las Perdices 760, La Reina;160 m² útiles ; 3 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/4380551-las-perdices-760-uda#position=39&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 315.000.000
$ 180.000.000;Loreley / La Cañada, La Reina;80 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5549791-loreley-la-canada-uda#position=38&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);0;$ 180.000.000
$ 210.000.000;La Reina: Blest Gana, La Reina;108 m² útiles ; 3 dormitorios ; 1 baño;https://www.portalinmobiliario.com/MLC-524381276-departamento-en-venta-blest-gana-_JM#position=15&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 210.000.000
$ 168.000.000;Metro Plaza Egaña, La Reina;72 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-530143069-departamento-en-venta-de-2-dorm-en-la-reina-_JM#position=46&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 168.000.000
$ 160.000.000;Propiedad En Metro Principe De Gales / The Grange School, La Reina;50 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-533014537-propiedad-en-metro-principe-de-gales-the-grange-school-_JM#position=41&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 160.000.000
$ 143.000.000;Av. Andres Bello / Pedro De Valdivia, Providencia;49 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5152413-av-andres-bello-pedro-de-valdivia-uda#position=25&type=item&tracking_id=c8c46702-0b85-4661-a2cf-4c79733f78e3;Providencia, RM (Metropolitana);0;$ 143.000.000
$ 51.000.000;Mario Kreutzberger 1520, Santiago, Chile, Santiago;36 m² útiles ; 1 dormitorio ; 1 baño;https://www.portalinmobiliario.com/MLC-537930596-mario-kreutzberger-1520-santiago-chile-_JM#position=21&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 51.000.000
$ 53.000.000;San Pablo 1503, Santiago, Chile, Santiago;40 m² útiles ; 1 dormitorio ; 1 baño;https://www.portalinmobiliario.com/MLC-538079987-san-pablo-1503-santiago-chile-_JM#position=22&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 53.000.000
$ 145.000.000;Valenzuela Puelma / Florencio Barrios, La Reina;66 m² útiles ; 2 dormitorios ; 1 baño;https://www.portalinmobiliario.com/MLC-532754257-departamento-en-venta-de-2-dormitorios-en-la-reina-_JM#position=28&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 145.000.000
$ 78.000.000;Santo Domingo 1457, Santiago, Chile, Santiago;68 m² útiles ; 2 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-535914326-santo-domingo-1457-santiago-chile-_JM#position=45&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 78.000.000
$ 220.000.000;Catedral - Garcia Reyes, Santiago;129 m² útiles ; 4 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-534027098-catedral-garcia-reyes-_JM#position=26&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 220.000.000
$ 38.500.000;Nataniel Cox 1302, Santiago, Chile, Santiago;46 m² útiles ; 3 dormitorios ; 2 baños;https://www.portalinmobiliario.com/MLC-535333598-nataniel-cox-1302-santiago-chile-_JM#position=48&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);0;$ 38.500.000
$ 310.000.000;Espectacular Departamento Principe D Gales, La Reina;160 m² útiles ; 3 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/4380539-espectacular-departamento-principe-d-gales-uda#position=35&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 310.000.000
$ 160.000.000;Oportunidad, Muy Amplio.. Príncipe De Gales / Mateo Toro Y Zambrano, La Reina;92 m² útiles ; 4 dormitorios ; 3 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5074347-oportunidad-muy-amplio-principe-de-gales-mateo-toro-y-zambrano-uda#position=37&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);0;$ 160.000.000
